[32, 43, 51, 70, 58]
[34, 45, 54, 66, 65]
[37, 42, 56, 66, 63]
[36, 44, 52, 72, 66]
[33, 44, 53, 69, 68]
[35, 45, 53, 70, 63]
[35, 45, 51, 70, 62]
[33, 44, 45, 70, 59]
[36, 41, 54, 65, 64]
[33, 44, 57, 64, 60]
[37, 39, 51, 69, 62]
[36, 43, 48, 68, 60]
[35, 46, 54, 66, 65]
[36, 47, 52, 66, 58]
[36, 42, 55, 64, 62]
[35, 42, 48, 71, 67]
[35, 41, 55, 63, 62]
[34, 42, 55, 74, 65]
[35, 42, 53, 69, 60]
[31, 46, 56, 69, 64]
[36, 44, 53, 71, 65]
[37, 47, 51, 73, 64]
[34, 42, 49, 71, 64]
[35, 41, 52, 74, 66]
[33, 44, 51, 69, 68]
[37, 44, 47, 67, 64]
[31, 45, 53, 74, 64]
[35, 45, 49, 68, 66]
[34, 39, 47, 69, 62]
[34, 42, 48, 72, 62]
